gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000270,5,1764420187738953700,0.025088,0.299008,0.025088,161.083648,221.421056,242.252544,482.089216,504.673792
0000000071,3,1764420188220957700,0.029952,0.530432,0.029696,229.83552,292.038144,314.624256,560.660224,585.03296
0000000171,4,1764420188223665200,0.046336,0.390656,0.032256,225.45664,289.69472,311.579392,559.300352,581.296384
0000000271,5,1764420188239356000,0.020992,0.319232,0.020736,212.504576,273.726208,296.497152,540.651264,563.05024
0000000072,3,1764420188722176300,0.0448,0.25472,0.044288,83.6992,350.288384,371.47008,612.880128,637.156096
0000000172,4,1764420188723973400,0.055808,0.493056,0.05504,82.990848,348.662784,369.731328,613.407744,636.725504
0000000272,5,1764420188739656400,0.022528,0.439296,0.022528,66.236416,332.6464,354.061056,594.362368,616.923392
0000000073,3,1764420189222627300,0.018944,0.446464,0.018688,131.053568,201.183488,222.220032,469.32864,493.453568
0000000173,4,1764420189224537600,0.054272,0.815872,0.054016,129.19552,199.735296,221.004544,462.400256,485.888
0000000273,5,1764420189240090000,0.04864,0.43392,0.047616,113.27616,183.924224,204.821504,449.353216,471.790848
0000000074,3,1764420189723435800,0.039936,0.29696,0.039424,196.03584,258.413824,279.320064,522.28352,545.349376
0000000174,4,1764420189724892400,0.04352,0.45312,0.043264,196.023296,257.236736,279.05664,519.311616,542.727168
0000000274,5,1764420189740661000,0.034048,0.500736,0.034048,178.257408,240.400896,261.897216,507.284736,531.598848
0000000075,3,1764420190223710200,0.04736,0.873216,0.047104,53.474816,323.235328,344.822528,591.880448,614.541824
0000000175,4,1764420190225068800,0.030976,0.486144,0.03072,52.52992,322.628096,343.353856,589.840896,613.18784
0000000275,5,1764420190240867800,0.027648,0.419328,0.027648,37.362688,306.559744,327.980032,573.123072,595.98208
0000000076,3,1764420190723755500,0.030464,0.383744,0.030208,110.327296,185.702912,207.054848,443.616512,468.419072
0000000176,4,1764420190725650700,0.019712,0.64768,0.019456,108.461568,185.740032,206.460928,444.339968,467.557632
0000000276,5,1764420190742167300,0.060416,0.858112,0.059648,91.304192,168.31232,189.137152,426.592512,450.022656
