gnbid,type,timestamp,MM5G_DEREGISTERED,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000063,3,1764490163652958200,0.656384,0.066816,0.067072,107.086336,132,152.726272,360.367104,381.188096
0000000064,3,1764490163754452200,0.631808,0.048896,0.049152,11.121408,38.918656,59.576832,263.315712,285.235456
0000000065,3,1764490163854406700,0.327168,0.025856,0.026368,152.393984,169.78688,191.870464,391.194112,440.65152
0000000066,3,1764490163955506700,1.238016,0.052736,0.053248,52.971008,74.562304,98.332672,291.537408,339.580672
0000000067,3,1764490164056268000,0.393472,0.0192,0.019456,185.623296,202.066176,238.431232,248.287744,269.988096
0000000068,3,1764490164156746800,0.613888,0.1088,0.109824,86.37568,107.108864,137.932544,155.664128,177.034752
0000000069,3,1764490164256693800,0.28416,0.024832,0.025088,38.388736,61.639168,82.475264,272.324352,293.841152
0000000070,3,1764490164357720800,0.435456,0.026624,0.026624,166.60352,182.171392,203.409152,416.327168,438.551552
0000000071,3,1764490164457679600,0.273408,0.022528,0.022784,66.757888,88.67072,109.776128,317.662976,338.692864
0000000072,3,1764490164557841000,0.286464,0.02688,0.027136,198.976256,237.056512,258.005248,467.137024,489.586944
0000000073,3,1764490164658086000,0.38656,0.040448,0.04096,103.5712,139.30496,160.009984,369.263616,390.554368
0000000074,3,1764490164758199600,0.292352,0.027392,0.027648,10.173696,46.859264,67.80288,269.454592,290.473984
0000000075,3,1764490164864971300,0.492544,0.044544,0.045056,155.231232,177.604096,198.58176,394.806528,416.465664
0000000076,3,1764490164967253500,0.586496,0.031488,0.032,52.761344,67.236096,88.005888,292.580608,314.19008
0000000077,3,1764490165067158000,0.249856,0.022016,0.022272,186.102528,210.750464,231.426816,246.075392,267.771648
0000000078,3,1764490165168116700,0.355584,0.024576,0.024832,85.143808,102.098688,122.810112,137.7984,159.840768
0000000079,3,1764490165268690400,1.222912,0.053504,0.05376,12.77568,27.942656,49.52064,260.51328,282.255104
0000000080,3,1764490165371064600,0.539392,0.019712,0.019968,153.12896,169.545984,191.554304,392.828416,413.97504
0000000081,3,1764490165471333400,0.387328,0.028928,0.029184,53.151232,75.585792,96.000768,292.950528,314.655232
0000000082,3,1764490165571881700,0.369408,0.015616,0.015872,186.917376,203.80032,224.641024,243.513088,265.966336
0000000083,3,1764490165673444400,0.307968,0.032,0.032256,85.5616,108.319232,129.500928,154.45632,175.162624
0000000084,3,1764490165774017500,0.3392,0.025856,0.026112,10.08,27.771392,49.48992,64.183808,85.453312
0000000085,3,1764490165874384000,0.423936,0.078848,0.079872,167.184384,182.595072,203.5904,408.411648,430.244864
0000000086,3,1764490165974506500,0.332288,0.025856,0.026112,67.31648,88.452352,109.150976,309.5488,330.89024
0000000087,3,1764490166075240200,0.422656,0.0256,0.0256,198.61504,217.570048,239.752192,441.600512,463.701248
0000000088,3,1764490166175566600,0.36096,0.039424,0.03968,100.656384,121.449728,142.301184,341.725184,363.496704
0000000089,3,1764490166275781400,0.37632,0.052992,0.054272,4.657408,24.215552,44.96512,241.882624,263.193088
0000000090,3,1764490166376460000,0.639488,0.022272,0.022528,133.901056,150.870528,172.4288,371.406336,394.004224
0000000091,3,1764490166476691000,0.5696,0.029184,0.029696,33.734656,55.498752,77.551104,271.888896,293.731072
0000000092,3,1764490166577277000,0.506368,0.044544,0.045056,165.161728,180.795392,201.768704,402.778624,425.161472
0000000093,3,1764490166679245000,0.31744,0.037376,0.037632,63.562496,85.143808,106.40896,300.932096,322.769408
0000000094,3,1764490166779171000,0.28672,0.0512,0.051456,194.329088,212.00384,232.516864,441.2608,463.158528
0000000095,3,1764490166879528400,0.347392,0.031232,0.031488,94.129664,117.957376,139.421952,344.424192,365.121792
0000000096,3,1764490166979525600,0.254976,0.023552,0.023808,8.930304,23.163904,44.25856,244.379392,266.080768
0000000097,3,1764490167095241500,0.35328,0.022528,0.02304,119.488768,135.450624,156.841984,360.1152,381.902592
0000000098,3,1764490167196625200,0.371712,0.02944,0.029696,18.574592,42.554624,63.534336,258.814208,280.684544
0000000099,3,1764490167297079600,0.64384,0.068352,0.08576,151.14752,166.521856,189.251328,390.703872,411.6288
0000000100,3,1764490167397288200,0.481792,0.032256,0.032768,51.213056,74.29248,95.346176,291.958784,312.889344
0000000101,3,1764490167497692700,0.733952,0.108544,0.109312,183.659776,205.898496,227.001856,235.77216,256.910592
0000000102,3,1764490167598484700,0.807424,0.170752,0.174592,82.76352,97.560576,118.085376,128.820736,156.063744
0000000103,3,1764490167698657500,0.29312,0.048384,0.04864,7.5136,20.71808,55.094272,248.84864,271.286016
0000000104,3,1764490167799832800,1.711616,0.040448,0.040704,143.191296,158.09664,182.434816,384.065536,405.191168
0000000105,3,1764490167900044800,0.351488,0.031744,0.032256,43.153152,64.383488,85.73952,284.110848,305.650176
0000000106,3,1764490168000710400,0.860928,0.06912,0.071168,177.196032,192.322048,215.569664,415.467264,437.20832
0000000107,3,1764490168101432800,0.556544,0.119296,0.120064,76.530432,97.613312,118.312704,316.398848,337.353728
0000000108,3,1764490168201519900,0.797184,0.035584,0.03584,205.61152,223.703296,244.801024,445.149184,467.325184
0000000109,3,1764490168302162000,0.685312,0.043264,0.043776,107.508992,125.720064,146.347264,347.599104,369.077504
0000000110,3,1764490168402506800,0.632832,0.035072,0.035328,7.730176,29.286656,50.9184,248.261888,268.692992
0000000111,3,1764490168502245400,0.460288,0.028416,0.028928,140.268032,156.946176,177.62688,377.285888,400.828928
0000000112,3,1764490168603070000,0.41984,0.040448,0.040704,39.700224,61.480448,83.43424,277.26464,300.02176
0000000113,3,1764490168703904300,0.33792,0.026624,0.02688,170.651904,193.114368,213.700352,411.867648,434.567168
0000000114,3,1764490168811796000,1.645056,0.247808,0.249088,62.583296,79.458816,100.221696,303.885568,326.757888
0000000115,3,1764490168912006400,0.240128,0.037632,0.037888,197.316352,217.291008,239.884288,452.769792,475.108352
0000000116,3,1764490169012802300,0.530432,0.029952,0.029952,96.799488,115.918848,139.187712,351.560448,374.3552
0000000117,3,1764490169113126400,0.402432,0.038144,0.0384,6.609664,28.144384,49.068032,252.420096,274.08128
0000000118,3,1764490169213313500,0.668928,0.088832,0.095232,144.516352,166.207488,188.220416,381.849856,405.57184
0000000119,3,1764490169314113000,0.233216,0.02688,0.027136,43.598592,59.302656,80.316416,280.75264,304.727552
0000000120,3,1764490169414455600,0.532736,0.111872,0.129536,174.60352,196.982784,217.556736,417.145344,438.512128
0000000121,3,1764490169515140600,0.522752,0.11008,0.112128,73.91232,89.391104,110.914816,314.942464,336.88064
0000000122,3,1764490169617027300,0.633344,0.050944,0.051456,203.188992,223.493888,244.901376,446.737408,469.203456
0000000123,3,1764490169717410800,0.464384,0.041984,0.042496,105.380608,124.112384,145.036544,348.274176,369.634816
0000000124,3,1764490169817549000,0.524032,0.036864,0.03712,8.839936,29.761536,50.879232,249.995008,271.524608
0000000125,3,1764490169918363000,0.667136,0.035072,0.035584,140.420608,156.866048,179.584,380.1856,401.762048
0000000126,3,1764490170019842300,0.551168,0.206336,0.214784,39.041024,61.53984,82.497024,279.450624,301.151488
0000000127,3,1764490170120406800,0.480768,0.028416,0.028928,172.6016,192.8128,213.712128,416.790784,438.331648
0000000128,3,1764490170226138000,0.51456,0.05888,0.059648,66.878208,81.07264,101.812736,309.322752,331.767296
0000000129,3,1764490170325889000,0.524032,0.111616,0.123648,197.169408,219.593984,241.171968,445.953024,467.61088
0000000130,3,1764490170426189000,0.500224,0.097024,0.098816,99.600896,119.802624,140.911104,348.695296,370.736384
0000000131,3,1764490170526558000,0.33152,0.022272,0.022272,5.767168,27.37024,48.241152,255.100416,276.67328
0000000132,3,1764490170626871300,0.711168,0.057344,0.058112,138.570496,168.544512,190.56896,393.132544,414.468352
0000000133,3,1764490170727301400,0.600064,0.099328,0.09984,40.25216,71.832576,92.796672,292.828928,314.08256
0000000134,3,1764490170827670800,0.497152,0.035072,0.035328,184.30336,209.44,229.928192,239.084032,261.638144
0000000135,3,1764490170935002000,0.491008,0.022016,0.022272,76.51072,94.425344,115.620864,124.774656,147.867904
0000000136,3,1764490171035362300,0.458496,0.04608,0.046336,5.274368,17.991168,38.81984,245.316352,267.602944
0000000137,3,1764490171140334600,1.405696,0.066304,0.066816,136.484608,157.503232,179.36768,375.700736,397.14944
0000000138,3,1764490171241113600,1.106176,0.039168,0.03968,35.634944,49.841152,71.405568,274.369536,295.448832
0000000139,3,1764490171341525500,0.72832,0.091392,0.09344,169.225984,185.686528,209.420544,410.341888,432.57856
0000000140,3,1764490171451668000,0.348672,0.040448,0.040704,59.170816,83.135488,104.201984,300.346112,322.477824
0000000141,3,1764490171551884500,0.452352,0.096768,0.098816,193.8368,214.580224,236.400384,428.096768,450.9056
0000000142,3,1764490171652192300,0.447488,0.0512,0.051456,93.152512,107.968256,129.131264,327.373056,350.160384
