gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000147,4,1764419809054341400,1.954304,0.321024,0.320512,61.48352,229.915136,250.780416,416.74496,438.004736
0000000956,12,1764419809065253400,0.504832,0.091648,0.086784,58.579968,396.772864,417.815296,532.753152,554.74688
0000000451,7,1764419809072652000,0.5248,0.02944,0.029184,81.117184,305.982464,328.230912,450.3936,472.307456
0000001051,13,1764419809072928300,0.240896,0.020224,0.019712,52.184832,386.28736,408.831488,511.687424,532.531712
0000000653,9,1764419809073277400,0.402176,0.093696,0.087296,47.075072,444.077312,465.846528,587.25376,608.640256
0000000047,3,1764419809086201900,0.56704,0.034816,0.03456,107.73376,423.063808,444.248064,563.587584,584.76672
0000000547,8,1764419809087490600,0.497408,0.024064,0.023808,114.3744,376.176128,396.971776,544.803584,572.1728
0000000859,11,1764419809109429000,0.357376,0.022528,0.022272,122.090496,458.20032,478.900992,609.293312,631.08736
0000000759,10,1764419809111395300,0.296704,0.02432,0.024064,92.899584,333.443328,354.153984,430.30016,450.204928
0000000347,6,1764419809112010200,0.304128,0.02688,0.026624,74.01728,597.670656,619.078912,737.51936,759.649792
0000000258,5,1764419809136760000,0.507648,0.045056,0.0448,163.586816,440.084224,462.098432,584.20992,605.748992
0000000148,4,1764419809155081200,2.166784,0.02944,0.028928,225.346304,498.671872,519.919104,652.068096,672.730624
0000000957,12,1764419809165423000,0.345856,0.028928,0.028672,129.376256,473.327616,494.783232,649.743872,674.092032
0000000452,7,1764419809172929000,2.017792,0.059648,0.058624,31.877632,400.596992,421.828608,556.105984,577.789952
0000001052,13,1764419809173437400,0.435712,0.043264,0.042496,148.090368,532.64,554.104576,669.801472,691.576064
0000000654,9,1764419809173619200,0.241152,0.025344,0.025088,147.329536,521.831168,542.638336,656.4672,676.088064
0000000048,3,1764419809186589400,2.795264,0.030464,0.029952,39.682304,386.095104,407.058688,533.72672,552.028928
0000000548,8,1764419809188307000,1.244416,0.100352,0.099584,35.905792,327.73888,348.499712,459.090432,480.55296
0000000860,11,1764419809209918200,0.322304,0.02688,0.026624,81.657088,366.088704,387.446528,523.539456,544.570112
0000000760,10,1764419809211980300,0.372992,0.020224,0.019968,62.90816,501.562624,522.360832,680.697344,702.156544
0000000348,6,1764419809212032000,0.333824,0.032512,0.032256,121.558784,590.66624,618.759168,797.881088,817.802496
0000000259,5,1764419809236983800,0.438272,0.02304,0.022784,71.162112,398.263808,419.27552,511.241472,532.68992
0000000149,4,1764419809255196700,0.454144,0.04352,0.043008,127.749632,460.986368,481.66656,663.984896,685.119744
0000000958,12,1764419809265552000,0.33536,0.030464,0.030208,40.9984,386.4,407.289856,572.3648,593.678848
